Clock frequency is approx. 3194.8 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	3186	1312	802	580	458	364	304	262	234	207	186	167	150	137	126	116	
64m	3192	1314	802	581	459	364	304	262	234	208	186	168	150	137	125	116	
32m	3191	1313	803	582	459	364	304	263	234	208	186	167	150	137	125	115	
16m	3194	1315	803	581	458	364	304	262	234	208	186	167	150	137	125	115	
8m	3185	1316	803	583	458	363	304	263	235	207	186	167	150	137	125	114	
4m	3199	1317	802	582	458	366	303	262	235	208	186	167	149	136	125	114	
2m	3236	1325	829	591	473	370	315	272	238	216	192	169	153	138	126	116	
1024k	3689	1963	1296	993	811	662	560	502	442	394	361	329	301	270	250	229	
512k	4073	3025	2452	2110	1915	1751	1620	1497	1397	1270	1247	1168	1109	1042	998	954	
256k	4318	3407	2897	2773	2563	2597	2485	2363	2277	2256	2298	2277	2250	2243	2276	2206	
128k	4528	3499	2874	3026	2622	2873	2586	2425	2448	2451	2429	2449	2451	2411	2435	2429	
64k	4522	3490	2873	2958	2685	2744	2618	2518	2417	2442	2434	2411	2401	2405	2419	2412	
32k	4509	3445	2905	2981	2743	2852	2574	2457	2443	2399	2415	2321	2683	2883	2928	3298	
16k	5076	4804	4689	4581	4487	4372	4301	4275	4321	4198	4267	4181	4087	3903	3883	3834	
8k	5434	5143	4882	4672	4432	4245	4058	3894	3694	3586	3461	3385	3265	3103	3044	2929	
4k	5294	4782	4304	3960	3708	3376	3226	2947	2738	2683	2512	2370	2325	2154	2086	2027	
2k	5018	4127	3551	3069	2747	2476	2239	2012	1843	1780	1614	1545	1406	1664	1644	1550	
1k	4544	3242	2546	2159	1805	1548	1416	1597	1409	1323	1198	1171	1141	1137	1165	1098	
